feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911200|Soldiers Canyon|Valley|New Mexico|35|Grant|017|Allie Canyon|11/13/1980|04/16/2019||||325654N|1080113W|32.9482348|-108.0202809|325639N|1080530W|32.9440675|-108.0916375
911202|Solo|Populated Place|New Mexico|35|Taos|055|Taos Junction|11/13/1980|08/04/2011||||362011N|1055706W|36.3363889|-105.9516667|||0.0|0.0
911204|Sombodoro Mesa|Summit|New Mexico|35|San Miguel|047|Villanueva|11/13/1980|01/22/2020||||352105N|1051805W|35.3513966|-105.3012584|||0.0|0.0
911207|Sombrero Tank|Reservoir|New Mexico|35|Otero|035|El Paso Canyon|11/13/1980|||||323535N|1053824W|32.5931558|-105.6399784|||0.0|0.0
911208|Sombrillo|Populated Place|New Mexico|35|Santa Fe|049|Espanola|11/13/1980|06/07/2022||||355848N|1060224W|35.9800238|-106.0400228|||0.0|0.0
911209|Sombrillo Ditch|Canal|New Mexico|35|Santa Fe|049|Espanola|11/13/1980|||||355855N|1060140W|35.9819682|-106.0278004|||0.0|0.0
911212|Sotano Saddle|Gap|New Mexico|35|Rio Arriba|039|Valle Grande Peak|11/13/1980|||||362346N|1060955W|36.3961294|-106.1653013|||0.0|0.0
911213|Sotol Basin|Basin|New Mexico|35|Eddy|015|Bandanna Point|11/13/1980|||||321750N|1043558W|32.2973322|-104.5994005|||0.0|0.0
911214|South Amador Tank|Reservoir|New Mexico|35|Rio Arriba|039|Petaca Peak|11/13/1980|02/20/2019||||363306N|1055816W|36.5516278|-105.9709987|||0.0|0.0
911215|South Animas Canyon|Valley|New Mexico|35|Sierra|051|Hillsboro Peak|11/13/1980|01/29/2020||||325931N|1074805W|32.9919918|-107.8012659|325827N|1074709W|32.9742479|-107.7857635
911216|South Baldy|Summit|New Mexico|35|Socorro|053|South Baldy|11/13/1980|01/22/2020||||335928N|1071117W|33.9909814|-107.1879756|||0.0|0.0
911217|South Brushy Tank|Reservoir|New Mexico|35|Grant|017|Little Turkey Park|11/13/1980|02/26/2019||||330819N|1081742W|33.1386086|-108.2949134|||0.0|0.0
911218|South Burned Timber Mountain|Summit|New Mexico|35|McKinley|031|Burned Timber Canyon|11/13/1980|04/23/2019||||351140N|1083350W|35.1945023|-108.5637868|||0.0|0.0
911219|South Canyon|Valley|New Mexico|35|Socorro|053|Water Canyon|11/13/1980|01/29/2020||||340437N|1070118W|34.0769353|-107.0216399|335916N|1070930W|33.987753|-107.1582815
911220|South Carrizo Creek|Stream|New Mexico|35|Union|059|Kenton SW|11/13/1980|||||364502N|1030001W|36.7505788|-103.0002065|364347N|1030121W|36.7297458|-103.0224295
911221|South Chaves|Populated Place|New Mexico|35|McKinley|031|Thoreau|11/13/1980|06/07/2022||||352318N|1080907W|35.3883616|-108.1520106|||0.0|0.0
911222|South Copper Canyon|Valley|New Mexico|35|Grant|017|Redrock|11/13/1980|01/31/2020||||324315N|1084001W|32.720737|-108.6670803|324350N|1083531W|32.7304344|-108.5919802
911223|South Crooked Canyon|Valley|New Mexico|35|Otero|035|Bullis Spring Ranch|11/13/1980|01/22/2020||||323053N|1050022W|32.5146031|-105.0060443|322923N|1050621W|32.4896693|-105.1058503
